OBJECTID,HSISID,NAME,ADDRESS1,CITY,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,PERMITID,X,Y,GEOCODESTATUS
1894575,4092018479,Tapline Growler,1110 KENTWORTH DR ,HOLLY SPRINGS,27540,+19197627329,2020-11-05,19567,-78.8299761,35.6377161,M
1894576,4092017095,ARBY'S RESTAURANT  #6036,151 WAKELON ST ,ZEBULON,27597,+19192690995,2015-11-23,19570,-78.31572903,35.83347119,M
1894579,4092017523,SHEETZ #620,7513 RAMBLE WAY ,RALEIGH,27616,+19192394746,2017-02-09,19580,-78.53896226,35.87590197,M
1894581,4092018208,Harris Teeter #21 Starbucks,500 OBERLIN RD ,RALEIGH,27605,+19198289216,2019-10-29,19584,-78.66105804,35.79149603,M
1894582,4092018398,Bul Box,1125 HATCHES POND LN,CARY,27519,+19196502549,2020-07-06,19589,-78.84968108,35.82663773,M
1894585,4092018343,Marco's Pizza,4203 FAYETTEVILLE RD,RALEIGH,27603,+19197624444,2020-03-09,19597,-78.65202042,35.72206935,M
1894586,4092014852,Umstead Hotel & Spa Pool Bar,100 Woodland Pond DR ,CARY,27513,+19194474190,2007-04-26,19599,-78.76458306,35.82989526,M
1894588,4092018711,Cleveland Draft House,1420 E BROAD ST,FUQUAY VARINA,27526,+19196595500,2021-09-21,19604,-78.77497022,35.59376837,M
1894590,4092016754,SUBWAY #1120,3639 NEW BERN AVE ,RALEIGH,27610-1232,+19192509393,2014-09-05,19623,-78.57923704,35.79885313,M
1894591,4092015320,LA COCINA #6,1221 TIMBER DR E ,GARNER,27529,+19197726999,2009-01-09,19644,-78.57544772,35.68894454,M
1894593,4092015319,Wang's Bistro,877-405 E GANNON AVE ,ZEBULON,27597,+19192699788,2009-01-06,19631,-78.3335351,35.8212246,T
1894594,4092018404,Brecotea Baking Studio,1144 KILDAIRE FARM RD,CARY,27511,+19192341555,2020-07-15,19654,-78.78337604,35.76638716,M
1894595,4092017156,SAINT JACQUES FRENCH CUISINE,6112 FALLS OF NEUSE RD ,RALEIGH,27609,+19198622770,2016-02-22,19656,-78.6187408,35.86627943,M
1894596,4092017501,Acacia Tree Asian Cuisine,101 KEYBRIDGE DR ,MORRISVILLE,27560,+19196771190,2017-01-17,19657,-78.82273397,35.82037774,M
1894597,4092018549,Italian Kitchen of Raleigh,3209 Hillsborough ST ,RALEIGH,27607,+19199008317,2021-03-04,19662,-78.67978839,35.79046192,M
1894598,4092017742,CREEDMOOR CAFE,8315 CREEDMOOR RD ,RALEIGH,27613,+19198484804,2017-11-27,19664,-78.68223183,35.90105252,M
1894599,4092018409,MOD Pizza - Waverly,316 Colonades Way,CARY,27518,+19192417200,2020-07-27,19675,-78.77756307,35.73853619,M
1894600,4092018619,Yemen Arab Restaurant,3933 WESTERN BLVD,RALEIGH,27606,+19197030004,2021-05-04,19685,-78.69268901,35.78366523,M
1894601,4092016513,SUBWAY #59146,8320 LITCHFORD RD ,RALEIGH,27615,+19199770441,2013-09-30,19693,-78.59988229,35.89223772,M
1894602,4092018552,It's a Wrap,10970 CHAPEL HILL RD ,MORRISVILLE,27560,+19842959800,2021-03-08,19694,-78.84057157,35.85637651,M
1894603,4092018551,Famous Toastery of Cary,316 COLONADES WAY ,CARY,27518,+19196551971,2021-03-08,19696,-78.77756307,35.73853619,M
1894604,4092017753,Cinebistro,525 NEW WAVERLY PL ,CARY,27518,+19199873500,2017-12-11,19700,-78.77756307,35.73853619,M
1894605,4092016657,CITY BARBECUE,1305 KILDAIRE FARM RD ,RALEIGH,27511,+19194395191,2014-03-28,19659,-78.78333323,35.76164635,M
1894606,4092016902,BRAVOS PIZZERIA,9 N MAIN ST ,WENDELL,27591,+19193656065,2015-03-18,19712,-78.37020737,35.78129601,M
1894608,4092016100,SLICE OF N. Y. PIZZA,1016  Shoppes at Midway ,KNIGHTDALE,27545,+19192619478,2012-02-06,19699,-78.50550835,35.79794748,M
1894609,4092018142,Falafel Co,1000 BROOKSIDE DR,RALEIGH,27604,+19199779004,2019-07-26,19746,-78.62465098,35.79244363,M
1894610,4092017204,THE HICKORY TAVERN #26,1156 PARKSIDE MAIN ST ,CARY,27519,+19194667802,2016-04-12,19754,-78.88929435,35.84836238,M
1894613,4092015733,CHECKER'S PIZZA & SUBS,2720-126 LAKE WHEELER ROAD,RALEIGH,27603,+19198211111,2010-10-07,19708,-78.6802369,35.74322252,M
1894614,4092018697,Kylin Asian Cuisine ,2143 Ten-Ten RD ,APEX,27539,+19193678686,2021-08-20,19765,-78.81811355,35.72082607,M
1894615,4092018339,Good Day Good Night,603 W MORGAN ST,RALEIGH,27603-1829,nan,2020-03-02,19790,-78.64794775,35.77972893,M
1894616,4092018186,Carolina Fish Fry,1566 BENSON RD,GARNER,27529,+19193222223,2019-09-26,19791,-78.60448652,35.68442705,M
1894617,4092018223,Jumbo China,404-183 E SIX FORKS RD ,RALEIGH,27609,+19195468858,2019-11-07,19731,-78.62593575,35.82034681,M
1894618,4092014636,Subway #12598,5621 Louisburg RD ,RALEIGH,27616-5353,+19197908550,2006-06-30,19801,-78.55796888,35.85459972,M
1894619,4092016783,PHO 919 VIETNAMESE CUISINE,3504 DAVIS DRIVE,MORRISVILLE,27560,+19193770318,2014-10-09,19808,-78.84576194,35.81812076,M
1894620,4092016908,COURTHOUSE DELI,316 FAYETTEVILLE ST.,RALEIGH,27601,nan,2015-04-20,19819,-78.63982973,35.7762647,M
