OBJECTID,HSISID,NAME,ADDRESS1,CITY,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,PERMITID,X,Y,GEOCODESTATUS
1927943,4092015733,CHECKER'S PIZZA & SUBS,2720-126 LAKE WHEELER ROAD,RALEIGH,27603,+19198211111,2010-10-07,20267,-78.6802369,35.74322252,M
1927945,4092017828,Panera Bread #6039,231 Grand Hill PL ,HOLLY SPRINGS,27540,nan,2018-04-10,20319,-78.84472443,35.66506502,M
1927946,4092014485,Cappolla's Pizza & Grill,1857 Aversboro RD ,GARNER,27529,+19196614774,2006-01-18,20324,-78.61583871,35.68506655,M
1927947,4092017312,BA-DA WINGS,6300-108 CREEDMOOR RD ,RALEIGH,27612,+19193221418,2016-09-09,20300,-78.67947283,35.87241027,M
1927948,4092018697,Kylin Asian Cuisine ,2143 Ten-Ten RD ,APEX,27539,+19193678686,2021-08-20,20330,-78.81811355,35.72082607,M
1927949,4092017742,CREEDMOOR CAFE,8315 CREEDMOOR RD ,RALEIGH,27613,+19198484804,2017-11-27,20336,-78.68223183,35.90105252,M
1927951,4092017524,RUDINO'S PIZZA & GRINDERS HERITAGE,1000 FORESTVILLE RD.,WAKE FOREST,27587,+19195696004,2017-02-16,20344,-78.5075981,35.94611021,M
1927952,4092017546,ABBEY ROAD TAVERN & GRILL APEX,1700 CENTER ST ,APEX,27502,+19193725383,2017-03-08,20348,-78.82753664,35.72521642,M
1927954,4092018376,PARADISE INDIA CUISINE,10255 CHAPEL HILL RD ,MORRISVILLE,27560,+19194816881,2020-06-03,20352,-78.82788003,35.83012574,M
1927955,4092014711,The Big Easy ,222 Fayetteville ST ,RALEIGH,27601,+19198326082,2006-11-13,20354,-78.63976344,35.77758371,M
1927956,4092014636,Subway #12598,5621 Louisburg RD ,RALEIGH,27616-5353,+19197908550,2006-06-30,20360,-78.55796888,35.85459972,M
1927958,4092017583,RICCI'S TRATTORIA,10110 GREENLEVEL CHURCH RD ,CARY,27519,+19193808410,2017-04-12,20366,-78.90107787,35.82060358,M
1927959,4092017579,CHIPOTLE #3024,1385 N MAIN ST ,FUQUAY-VARINA,27526,+19195670206,2017-04-18,20369,-78.77436557,35.59279213,M
1927961,4092016513,SUBWAY #59146,8320 LITCHFORD RD ,RALEIGH,27615,+19199770441,2013-09-30,20381,-78.59988229,35.89223772,M
1927962,4092018552,It's a Wrap,10970 CHAPEL HILL RD ,MORRISVILLE,27560,+19842959800,2021-03-08,20382,-78.84057157,35.85637651,M
1927963,4092018142,Falafel Co,1000 BROOKSIDE DR,RALEIGH,27604,+19199779004,2019-07-26,20383,-78.62465098,35.79244363,M
1927965,4092015731,IHOP #3331,7471 SIX FORKS RD ,RALEIGH,27615,+19198474467,2010-10-06,20392,-78.64672008,35.88190821,M
1927966,4092018227,Strike & Barrel,413 Brooks ST ,WAKE FOREST,27587,+19194884651,2019-11-13,20396,-78.50875816,35.97418866,M
1927967,4092017853,ONCE IN A BLUE MOON BAKERY AND CAFE,115 W CHATHAM ST,CARY,27511-3318,+19193196554,2018-05-30,20398,-78.78180095,35.78682557,M
1927968,4092017117,MY WAY TAVERN,522 ST. MARY'S ST ,RALEIGH,27605,+19199008273,2015-12-04,20407,-78.65060422,35.78716434,M
1927969,4092018339,Good Day Good Night,603 W MORGAN ST,RALEIGH,27603-1829,nan,2020-03-02,20416,-78.64794775,35.77972893,M
1927970,4092018186,Carolina Fish Fry,1566 BENSON RD,GARNER,27529,+19193222223,2019-09-26,20417,-78.60448652,35.68442705,M
1927971,4092015563,HOLIDAY INN EXPRESS HOTEL & SUITES BREAKFAST,3741 THISTLE DOWN  DR ,RALEIGH,27606,+19198540001,2010-01-19,20425,-78.69949496,35.75440071,M
1927972,4092017159,ARBY'S #6151,6308  CAPITAL BLVD ,RALEIGH,27616,+19199546185,2016-02-23,20430,-78.57917753,35.87164303,M
1927973,4092016243,SNACK SHOP,4101 NC-HWY 55 ,CARY,27519,+19193808403,2012-09-12,20426,0.0,0.0,U
1927975,4092018592,Wendy's,6611 GLENWOOD AVE ,RALEIGH,27612,+19197281065,2021-03-24,20441,-78.7086878,35.85971365,M
1927977,4092018048,Sheetz #664,6030 Village Park DR ,KNIGHTDALE,27545,+19192954217,2019-02-04,20454,-78.50003382,35.79758228,M
1927978,4092017821,"Hwy. 55 Burgers, Shakes & Fries #185",8450 Louisburg RD ,RALEIGH,27616,+19193738807,2018-04-06,20459,-78.50930992,35.89359383,M
1927981,4092016559,KING CHINESE BUFFET,1029 E BROAD ST ,FUQUAY VARINA,27526,+19195678989,2013-11-05,20471,-78.78267467,35.59365948,M
1927982,4092018178,SmokeStacks Cafe,701 E LANE ST ,RALEIGH,27601,+19197366408,2019-09-18,20482,-78.62913849,35.78369416,M
1927985,4092017830,DUNKIN DONUTS 344467,800 PERRY RD ,APEX,27502,+19193035800,2018-04-25,20508,-78.84460695,35.7208474,M
1927987,4092018569,Wendy's,4105 Wake Forest RD ,RALEIGH,27609,+19198729270,2021-03-23,20515,-78.61367241,35.83751586,M
1927988,4092017275,SHEETZ #600,1019 MORRISVILLE PKY ,MORRISVILLE,27560,+19193880394,2016-07-07,20517,-78.82183146,35.80911724,M
1927989,4092016391,MOE'S SOUTHWEST GRILL #838,770  W WILLIAMS ST ,APEX,27502,+19193030061,2013-03-20,20521,-78.86276064,35.73803218,M
1927990,4092018555,Lorraine's Coffee House,101 TIMBER POINTE LN,GARNER,27529,+19197147990,2021-03-10,20525,-78.63579484,35.69379154,M
1927991,4092018410,MOD Pizza - Millbrook Rd,2071  W Millbrook Rd,RALEIGH,27612,+19199873668,2020-07-27,20527,-78.67971393,35.85737248,M
1927992,4092018348,Subway #2017,"6320  Capital Blvd, Ste 133",RALEIGH,27616,+19198781777,2020-04-14,20531,-78.57847002,35.87073633,M
1927994,4092017012,CAROLINA SUSHI & ROLL,5951-107 POYNER VILLAGE PKY ,RALEIGH,27616,+19199815835,2015-08-28,20538,-78.57030208,35.86511564,M
1927996,4092016504,Comfort Inn,1001 WAKE TOWNE DR ,RALEIGH,27609,+19198281813,2013-09-05,20567,-78.62437774,35.82443426,M
1927999,4092017161,VIC'S ITALIAN RESTAURANT & PIZZERIA,4035-109 LAKE BOONE TRL ,RALEIGH,27607,+19842009292,2016-02-26,20568,-78.69765947,35.81547554,M
1928001,4092018364,China House,7063 Knightdale Blvd,KNIGHTDALE,27545,+19192174484,2020-05-14,20589,-78.49327225,35.79797229,M
1928002,4092017884,9.19 Island Cuisine,13654 Capital BLVD Suite 108,WAKE FOREST,27587,+19195563647,2018-07-03,20590,-78.51867461,36.00548951,M
1928003,4092017981,Domino's #4464,4112-120 PLEASANT VALLEY RD ,RALEIGH,27612,+19197835500,2018-11-19,20585,-78.70411749,35.8601067,M
1928004,4092018162,3 Olives Pizza & Deli,1493 GARNER STATION BLVD,RALEIGH,27603,+19197773530,2019-08-27,20600,-78.65539938,35.7237412,M
1928005,4092016763,FIRST WATCH,6109 GLENWOOD AVE.,RALEIGH,27612,+19197893347,2014-09-25,20605,-78.70249018,35.85532535,M
1928007,4092018365,MI CANCUN 2,9605 CHAPEL HILL RD ,MORRISVILLE ,27560,+19194819002,2020-05-14,20615,-78.81159503,35.80640931,M
1928008,4092016646,FILIPINO EXPRESS RESTAURANT,"3601 CAPITAL BLVD, STE 101",RALEIGH,27604,+19198766911,2014-03-25,20631,-78.58592881,35.82958159,M
1928010,4092016895,FIRST WATCH #517,6320-130 CAPITAL BLVD.,RALEIGH,27616,+19199008355,2015-03-20,20617,-78.58011487,35.87107688,M
1928011,4092018633,Starbucks,1017 CARRINGTON MILL BLVD,MORRISVILLE,27560,nan,2021-06-01,20643,-78.84206896,35.85728627,M
1928012,4092018654,Bru's Public House,5433 Wade Park BLVD ,RALEIGH,27607,+19199778755,2021-06-16,20645,-78.7303442,35.80695603,M
1928014,4092017824,Hibachi Express,1009 Stadium DR ,WAKE FOREST,27587,+19842371031,2018-03-23,20656,-78.52990327,35.98957106,M
1928015,4092017819,Starbucks #11189,3800 Lake Boone TRL ,RALEIGH,27607,+19197816211,2018-03-28,20658,-78.69378491,35.81617512,M
1928019,4092016087,YAMATO,700 E WILLIAMS ST ,APEX,27502,+19193038088,2012-01-17,20667,-78.84651301,35.7236133,M
1928020,4092014924,Carolina Ale House,11685 Northpark DR ,WAKE FOREST,27587,+19195568666,2007-08-08,20673,-78.54383057,35.96466469,M
1928022,4092016715,Spring Hill Suites Kitchen,1128 Ledsome Lane,CARY,27511,+19199777244,2014-07-11,20683,-78.74889113,35.76176667,M
1928024,4092017071,PERI BROTHERS PIZZA,7321 SIX FORKS RD ,RALEIGH,27615,+19198446692,2015-11-06,20693,-78.64725808,35.88069032,M
1928025,4092018155,Char-Grill Wake Forest,13600 CAPITAL BLVD,WAKE FOREST,27587,+19195542000,2019-08-21,20701,-78.52002018,36.0046313,M
1928026,4092017224,PHO XPRESS,7841-130 ALEXANDER PROMENADE PL ,RALEIGH,27617,+19194004100,2016-05-05,20697,-78.78033581,35.91281167,M
1928027,4092016978,THE BURGER SHOP,203 WAIT AVE ,WAKE FOREST,27587,+19195622333,2015-07-07,20703,-78.50924596,35.9788861,M
1928029,4092017462,JASMIN MEDITERRANEAN BISTRO,2501 BLUE RIDGE RD ,RALEIGH,27607,+19198008599,2016-11-09,20710,-78.70656515,35.81500557,M
1928031,4092017962,DUNKIN DONUTS,1450 N MAIN ST ,FUQUAY-VARINA,27526,+19195771150,2018-10-26,20720,-78.76831494,35.59359443,M
