"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"7B15AA25-97EC-FDF1-9BDE9A6F6A2F66DA","Hako Sushi","2603-155 GLENWOOD  AVE ","RALEIGH","NC","27608","","","19199612807"
"7B1E886E-D91C-A110-2790F183116CAABB","THE UNION TAVERN & JUNCTION SALON BAR","327 W DAVIE  ST ","RALEIGH","NC","27601","","","111111919449"
"7B27C68C-CECA-0922-3F7620ABAAFBE2B1","KUMBALA BAR &amp; GRILL","3945 NEW BERN  AVE ","RALEIGH","NC","27610","","","19192310335"
"7B2C9269-0262-BD2F-4E70D10165CB7CDB","KYOTO","12516 CAPITAL  BLVD ","WAKE FOREST","NC","27587","","","19195568068"
"7B3D0C87-92FE-3B83-67D1B693F7039471","SWEET LEAF CAFE","1313 N MAIN  ST ","RALEIGH","NC","27526","","","19197627169"
"7B90ECCA-D781-7961-AD70A75466ABCF3D","LAS MARGARITAS","231 TIMBER DR ","GARNER","NC","27529-4870","","","19196621030"
"7C287FAE-C4DE-90CA-9AD12FB17B153053","El Lobo Mexican Restaurant","1301 East Broad Street","FUQUAY-VARINA","NC","27526","","","19195579540"
"7C44E9C3-BAE7-BF5C-65A6A2E9433CB101","Waffle House #2052","2320 Dixie Forest Road","RALEIGH","NC","27615","","","19198621905"
"7C820E18-3048-9838-FC952827920716C4","Moe's Southwest Grill #205","168 SHENSTONE BLVD ","GARNER","NC","27529","","","19197790311"
"7C92332F-3048-9838-FCE7D4C1B9B3A0D9","DOMINIC'S NY PIZZERIA","2026 KILDAIRE FARM RD ","CARY","NC","27511","","","19192339221"
"7C932E1C-5056-A20B-FA602B8BEA0CEBE4","MORE.","116-100 N WEST ST ","RALEIGH","NC","27603","","","19199268415"
"7C9D87E6-3048-9838-FCD19193BA4A57AB","RALEIGH CONVENTION CENTER","500 S SALISBURY  ST ","RALEIGH","NC","27601","","","19199968675"
"7CC52263-5056-A20B-FA31EE387876CA27","TROPICAL SMOOTHIE CAFE #NC22","2028 KILDAIRE FARM RD ","CARY","NC","27518","","","19199779506"
"7CD9B78F-5056-A20B-FA9747318C21C64F","TAPLINE GROWLER","1110 KENTWORTH DR ","HOLLY SPRINGS","NC","27540","","","19197627329"
"7CEBE9B3-1422-201B-19230D9C2A35046B","Lady Justice Cafe","901 Corporate Center DR ","RALEIGH","NC","27607","","","19198901525"
"7CF4234B-5056-A20B-FA1D692D757595BA","RISE BISCUITS &amp; DONUTS","6325-33 FALLS OF NEUSE RD ","RALEIGH","NC","27615","","","19842005751"
"7D0B680B-5056-A20B-FA465CDB62015FC5","MARCO'S PIZZA #8285","133 GRAND HILL PL ","HOLLY SPRINGS","NC","27540","","","19193461227"
"7D103A7D-12E1-6D08-1A5CC168554E9E1D","Bruegger's Bagel Bakery #0701","8204-113 Tryon Woods DR ","CARY","NC","27518","","","19198510906"
"7D14FB64-80D8-6375-0CCF173969F52311","MAMMA  MIA ITALIAN BISTRO","708 LAURA DUNCAN  RD ","APEX","NC","27502","","","19193632228"
"7D2C5E30-1422-201B-193177EC5CA6B742","GRACE Christian School Kitchen","801  Buck Jones RD ","RALEIGH","NC","27606","","","19197836618"
"7D477D2E-1422-201B-19C903267A7DE8D6","BAAN THAI RESTAURANT","758 WILLIAMS ST ","APEX","NC","27502","","","19196296399"
"7D495432-568C-AA5A-30FD11C25788A74F","Crema on Fayetteville","121 Fayetteville ST ","RALEIGH","NC","27601","","","19198325959"
